TIME_frame,TRACK_ID,X_(com),Y_(com),angle,area
    0,     0, 82.332592, 356.165567, 4.755165,     0
    0,     1, 76.274796, 377.085322, 5.057996,     0
    0,     2, 195.990413, 246.842972, 5.521163,     0
    0,     3, 311.868125, 207.999539, 2.757828,     0
    0,     4, 112.935738, 67.221536, 2.887456,     0
    0,     5, 23.131399, 301.152519, 0.001038,     0
    0,     6, 175.153931, 56.249357, 1.623041,     0
    0,     7, 361.298299, 102.997434, 4.823507,     0
    0,     8, 163.068475, 112.857860, 3.743354,     0
    0,     9, 255.190274, 234.256175, 0.741488,     0
    0,    10, 242.662049, 99.923520, 4.853752,     0
    0,    11, 108.447644, 96.480814, 1.615228,     0
    0,    12, 127.302564, 48.443506, 5.522555,     0
    0,   270, 394.710085, 68.923579, 2.040749,     0
    0,    13, 285.783808, 318.810958, 0.104849,     0
    0,    14, 96.889302, 328.184102, 2.627790,     0
    0,    15, 357.334366, 380.131052, 1.846290,     0
    0,    16, 332.109672, 219.261851, 3.787710,     0
    0,    17, 315.856706, 194.206825, 0.696901,     0
    0,    18, 34.403807, 95.297271, 2.531436,     0
    0,    19, 333.344701, 227.471046, 4.105295,     0
    0,    20, 257.939522, 332.623314, 0.277397,     0
    0,    21, 380.489989, 376.067982, 2.244118,     0
    0,    22, 337.179422, 28.743697, 2.488179,     0
    0,    23, 220.332435, 326.492599, 1.346999,     0
    0,    24, 9.721979, 66.842843, 4.357273,     0
    0,    25, 143.555129, 92.866942, 1.069603,     0
    0,    26, 326.121105, 137.173138, 6.120382,     0
    0,    27, 260.025399, 197.487784, -0.045633,     0
    0,    28, 234.146358, 386.513789, 2.789911,     0
    0,    29, 388.729161, 35.391553, 0.588880,     0
    0,    30, 345.407874, 135.537092, 2.264693,     0
    0,    31, 32.036123, 150.455843, 5.745092,     0
    0,   271, 203.692209, 394.693799, 3.985410,     0
    0,    32, 353.368811, 35.613553, 0.465533,     0
    0,    33, 191.604454, 349.235443, 0.681858,     0
    0,    34, 205.131246, 177.687229, 2.945147,     0
    0,    35, 230.082606, 163.066635, 2.479496,     0
    0,    36, 10.113747, 67.802586, 3.840924,     0
    0,    37, 179.933745, 287.083991, 1.215785,     0
    0,    38, 127.690992, 140.659677, 3.332192,     0
    0,    39, 377.826849, 393.396339, 2.244971,     0
    0,    40, 161.192103, 367.723200, 4.393731,     0
    0,    41, 128.006141, 22.383333, 4.379081,     0
    0,    42, 211.316883, 268.899982, 1.385124,     0
    0,    43, 313.497873, 309.372088, 3.199091,     0
    0,    44, 288.592826, 284.811538, 4.177960,     0
    0,    45, 145.976258, 24.376843, 1.874194,     0
    0,    46, 89.105925, 82.886172, 2.624868,     0
    0,    47, 143.222261, 331.025425, 6.041238,     0
    0,    48, 14.081307, 179.317850, 0.961942,     0
    0,    49, 333.531602, 99.256992, 5.233351,     0
    0,    50, 14.626828, 89.301494, 4.311230,     0
    0,    51, 23.562956, 329.780574, 4.143394,     0
    0,    52, 60.075543, 71.918355, 2.062521,     0
    0,    53, 333.731376, 330.906830, 4.323662,     0
    0,    54, 238.353827, 376.624815, 1.251209,     0
    0,    55, 231.279685, 116.353531, 6.103645,     0
    0,    56, 338.712756, 267.586258, 0.176325,     0
    0,    57, 235.082263, 189.533643, 1.007519,     0
    0,    58, 263.668999, 90.978656, 2.796951,     0
    0,    59, 143.447845, 366.028335, 0.065040,     0
    0,    60, 183.272693, 164.688293, 5.465958,     0
    0,    61, 255.965829, 212.196511, 2.258684,     0
    0,   272, 394.931482, 321.909306, 3.897178,     0
    0,    62, 197.749834, 76.996886, 3.515844,     0
    0,    63, 245.091075, 305.055640, 5.991901,     0
    0,    64, 79.947422, 169.224033, 2.302881,     0
    0,    65, 166.821695, 122.576728, 3.567459,     0
    0,    66, 143.593426, 190.239152, 5.616396,     0
    0,    67, 217.303993, 101.371187, 2.128729,     0
    0,    68, 45.517322, 116.949955, 0.815540,     0
    0,    69, 46.628899, 122.987039, 1.158314,     0
    0,    70, 275.303664, 243.588832, 2.710721,     0
    0,    71, 221.446067, 260.478650, 5.930652,     0
    0,    72, 295.930533, 248.298995, 4.405198,     0
    0,    73, 237.347342, 245.752165, 1.268420,     0
    0,    74, 139.324077, 317.022043, 5.708489,     0
    0,    75, 245.344249, 118.894851, 6.187403,     0
    0,    76, 93.101013, 18.410212, -0.220823,     0
    0,    77, 59.203633, 13.830899, 0.590414,     0
    0,    78, 105.881894, 136.527979, 1.855966,     0
    0,    79, 238.454361, 317.355221, 1.730243,     0
    0,    80, 252.745000, 54.914099, 4.819225,     0
    0,    81, 366.013132, 297.535342, 2.934647,     0
    0,    82, 198.254255, 260.139166, 3.940895,     0
    0,    83, 204.380101, 58.176482, 4.967196,     0
    0,    84, 314.442437, 63.968411, 4.969792,     0
    0,    85, 38.258335, 383.297315, 2.530556,     0
