TIME_frame,TRACK_ID,X_(com),Y_(com),angle,area
    0,     0, 282.918140, 80.120174, 2.424148,     0
    0,     1, 94.731226, 173.142109, 1.636871,     0
    0,     2, 318.824322, 72.820766, 1.538106,     0
    0,     3, 57.044909, 241.974249, 2.102998,     0
    0,     4, 6.141100, 393.511923, 3.159904,     0
    0,     5, 171.950028, 390.600651, 2.891128,     0
    0,     6, 321.932536, 354.340546, 5.251373,     0
    0,     7, 60.714741, 19.058969, 3.733140,     0
    0,     8, 243.371008, 59.989838, 1.149310,     0
    0,     9, 298.743334, 162.102467, 1.597436,     0
    0,    10, 212.091656, 386.605546, 1.659958,     0
    0,    11, 210.173026, 34.223271, 0.476676,     0
    0,    12, 54.008768, 219.552011, 3.182614,     0
    0,    13, 211.106275, 259.393775, 0.886364,     0
    0,    14, 157.456462, 264.095257, 2.900993,     0
    0,    15, 155.892293, 253.541112, 1.819632,     0
    0,    16, 313.447890, 62.767629, 4.869631,     0
    0,    17, 147.640368, 201.792487, 1.044422,     0
    0,    18, 280.042170, 94.625864, 4.967782,     0
    0,    19, 223.378839, 251.801319, 4.801571,     0
    0,    20, 367.319025, 142.510404, 1.807854,     0
    0,    21, 257.753930, 69.164470, 2.656939,     0
    0,    22, 198.746886, 64.528605, 4.363044,     0
    0,    23, 378.175786, 171.376605, -0.102132,     0
    0,    24, 340.778790, 164.636559, 6.265581,     0
    0,    25, 371.406681, 160.744377, 1.917802,     0
    0,    26, 128.322533, 231.376878, 1.693084,     0
    0,    27, 345.794751, 352.702646, 3.682376,     0
    0,    28, 239.564360, 23.441395, 3.808775,     0
    0,    29, 240.300165, 92.291566, 2.826797,     0
    0,    30, 299.522630, 367.413519, 6.183994,     0
    0,    31, 205.377905, 244.222651, 2.609389,     0
    0,    32, 16.427406, 216.564979, 5.426474,     0
    0,    33, 43.708828, 248.986594, 0.365649,     0
    0,    34, 141.558267, 312.541174, 4.382780,     0
    0,    35, 7.484980, 34.478374, 3.353431,     0
    0,    36, 279.053827, 205.622257, 6.372892,     0
    0,    37, 230.152517, 346.348093, 2.031472,     0
    0,    38, 193.755164, 331.409509, 3.266788,     0
    0,    39, 203.796618, 381.642911, 2.743734,     0
    0,    40, 270.151016, 51.181041, 2.617323,     0
    0,    41, 143.309428, 354.361623, 5.247306,     0
    0,    42, 137.414673, 68.272480, 0.053540,     0
    0,    43, 188.418016, 154.955940, 1.723366,     0
    0,    44, 249.595590, 173.114198, 2.623223,     0
    0,    45, 98.236483, 163.723179, 2.173470,     0
    0,    46, 166.535979, 371.386475, 0.407692,     0
    0,    47, 22.175419, 299.315090, 2.321015,     0
    0,    48, 276.602026, 337.514050, 5.950895,     0
    0,    49, 134.769049, 13.965297, 2.139702,     0
    0,    50, 247.786219, 39.893240, 5.370303,     0
    0,    51, 309.597408, 323.902960, 4.181654,     0
    0,    52, 162.314238, 387.874391, 6.113901,     0
    0,    53, 62.516557, 386.839677, 5.807839,     0
    0,    54, 186.430478, 311.911743, 0.322135,     0
    0,    55, 215.615905, 270.362926, 5.560861,     0
    0,    56, 175.763867, 104.446203, 0.576056,     0
    0,    57, 389.345641, 296.303097, 3.618074,     0
    0,    58, 256.221900, 108.910171, 5.131786,     0
    0,    59, 159.859065, 319.838505, 2.558081,     0
    0,    60, 137.665766, 380.105002, 4.341147,     0
    0,    61, 292.391013, 221.759665, 3.389117,     0
